audit_id,anonymous_system_id,analysis_config,router_family,base_model,escalation_model,memory_mode,ticket_id,gold_label,parse_error_present,validation_error_present,generation_valid,escalated,total_cost_usd,latency_ms
AUDIT-0156,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,8674,Miscellaneous,False,False,True,False,0.006312,4183.515114942566
AUDIT-0157,System F,slm_only__base_slm2__mem_rag_bm25,slm_only,slm2,,rag_bm25,4556,Internal Project,False,False,True,False,0.0007637,3146.675496129319
AUDIT-0158,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,9002,HR Support,False,False,True,False,0.0066300000000000005,4632.085305871442
AUDIT-0159,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,7239,Hardware,False,False,True,False,0.0029370000000000004,2303.491445025429
AUDIT-0160,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,5207,HR Support,True,False,True,False,0.0006274999999999999,1773.9377091638744
AUDIT-0161,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,4954,Miscellaneous,True,False,True,False,0.000673,1810.9822508413345
AUDIT-0162,System F,slm_only__base_slm2__mem_rag_bm25,slm_only,slm2,,rag_bm25,5797,HR Support,False,False,True,False,0.0008826999999999999,1245.7937160506845
AUDIT-0163,System C,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,194,Storage,False,False,True,False,0.000582,1655.1861111074686
AUDIT-0164,System B,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,7137,Miscellaneous,False,False,True,False,0.0030629999999999998,2486.0183699056506
AUDIT-0165,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,9976,Access,False,False,True,False,0.0005035,1570.5213600303978
AUDIT-0166,System E,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,8607,Storage,False,False,True,False,0.0006986,1330.700728110969
AUDIT-0167,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,4073,Miscellaneous,False,False,True,False,0.006996,3998.7339118961245
AUDIT-0168,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,7278,Hardware,False,False,True,False,0.0006145,2089.626922039315
AUDIT-0169,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,5887,HR Support,False,False,True,False,0.000727,2703.0728310346603
AUDIT-0170,System E,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,9002,HR Support,False,False,True,False,0.0006866999999999999,1162.006544182077
AUDIT-0171,System E,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,9542,Purchase,False,False,True,False,0.0006832,1242.0273581519723
AUDIT-0172,System A,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,5181,Miscellaneous,False,False,True,False,0.0006815,2215.189039008692
AUDIT-0173,System F,slm_only__base_slm2__mem_rag_bm25,slm_only,slm2,,rag_bm25,9885,Storage,False,False,True,False,0.0006258,1092.3822149634361
AUDIT-0174,System F,slm_only__base_slm2__mem_rag_bm25,slm_only,slm2,,rag_bm25,5887,HR Support,False,False,True,False,0.0007007,1055.612845113501
AUDIT-0175,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,2064,HR Support,False,False,True,False,0.006618,6475.114917149767
AUDIT-0176,System F,slm_only__base_slm2__mem_rag_bm25,slm_only,slm2,,rag_bm25,3889,HR Support,False,False,True,False,0.0006496,2824.1742150858045
AUDIT-0177,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,8923,Purchase,False,False,True,False,0.00609,3781.0902080964297
AUDIT-0178,System C,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,2250,Access,False,False,True,False,0.0006425,1786.1442412249744
AUDIT-0179,System E,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,2740,Miscellaneous,False,False,True,True,0.0042285,3067.6107110921293
AUDIT-0180,System D,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,4390,Administrative rights,False,False,True,False,0.006425999999999999,4191.711476072669
